Avengers: Endgame,Anthony Mackie
Avengers: Infinity War,Anthony Mackie
Million Dollar Baby,Anthony Mackie
Green Book,Anthony Mangano
The Dark Knight,Anthony Michael Hall
The Pianist,Anthony Milner
Logan,Anthony Nanakornpanom
Warrior,Anthony Nanakornpanom
Spotlight,Anthony Paolucci
Die Hard,Anthony Peck
Psycho,Anthony Perkins
Goodfellas,Anthony Polemeni
Catch Me If You Can,Anthony Powers
Goodfellas,Anthony Powers
Lawrence of Arabia,Anthony Quayle
Lawrence of Arabia,Anthony Quinn
Hamilton,Anthony Ramos
A Beautiful Mind,Anthony Rapp
The Matrix,Anthony Ray Parker
Prisoners,Anthony Reynolds
Casino,Anthony Russell
A Clockwork Orange,Anthony Sharp
Barry Lyndon,Anthony Sharp
La haine,Anthony Souter
Warrior,Anthony Tambakis
The Terminator,Anthony Trujillo
Goodfellas,Anthony Valentin
Rear Window,Anthony Warde
Rush,Anthony Wolfe
Cool Hand Luke,Anthony Zerbe
V for Vendetta,Antje Rau
Catch Me If You Can,Antoine Drolet-Dumoulin
The Intouchables,Antoine Laurent
Mad Max: Fury Road,Antoinette Kellerman
Gladiator,Antone Pagán
Taxi Driver,Antone Pagán
Cinema Paradiso,Antonella Attili
The Truman Show,Antoni Corone
The Passion of Joan of Arc,Antonin Artaud
Spider-Man: Across the Spider-Verse,Antonina Lentini
"The Good, the Bad and the Ugly",Antonio Casale
"The Good, the Bad and the Ugly",Antonio Casas
The Wages of Fear,Antonio Centa
Ben-Hur,Antonio Corevi
American History X,Antonio David Lyons
Hotel Rwanda,Antonio David Lyons
Gladiator,Antonio Meitin
Gran Torino,Antonio Mireles
For a Few Dollars More,Antonio Molino Rojo
Once Upon a Time in the West,Antonio Molino Rojo
"The Good, the Bad and the Ugly",Antonio Molino Rojo
For a Few Dollars More,Antonio Montoya
"The Good, the Bad and the Ugly",Antonio Montoya
For a Few Dollars More,Antonio Palombi
Once Upon a Time in the West,Antonio Palombi
"The Good, the Bad and the Ugly",Antonio Palombi
The Dark Knight Rises,Antonio Piluso
Life Is Beautiful,Antonio Prester
Coco,Antonio Sol
Gone Girl,Antonio St. James
Pirates of the Caribbean: The Curse of the Black Pearl,Antonio Valentino
For a Few Dollars More,Antoñito Ruiz
"The Good, the Bad and the Ugly",Antoñito Ruiz
Dangal,Anuraag Arora
12 Years a Slave,Anwan Glover
Your Name.,Aoi Yuki
Pather Panchali,Aparna Devi
Dangal,Aparshakti Khurana
L.A. Confidential,April Audia
L.A. Confidential,April Breneman
Joker,April Grace
Whiplash,April Grace
American Beauty,Ara Celi
Toy Story 3,Aramé Scott
The Dark Knight Rises,Aramis Knight
La haine,Arash Mansour
The Sting,Arch Johnson
The Godfather,Ardell Sheridan
It's a Wonderful Life,Argentina Brunetti
Pan's Labyrinth,Ariadna Gil
Spider-Man: No Way Home,Arian Moayed
Hamilton,Ariana DeBose
Avengers: Infinity War,Ariana Greenblatt
Jurassic Park,Ariana Richards
Harry Potter and the Deathly Hallows: Part 2,Ariella Paradise
The Dark Knight,Ariyon Bakare
Witness for the Prosecution,Arline Bletcher
Full Metal Jacket,Arliss Howard
To Be or Not to Be,Armand 'Curly' Wright
The Passion of Joan of Arc,Armand Lurville
Ben-Hur,Armando Fracassi
Amélie,Armelle
The Departed,Armen Garo
The Wolf of Wall Street,Armen Garo
12 Angry Men,Armin Mueller-Stahl
A Separation,Armine Zeytounchian
Warrior,Armon York Williams
Scarface,Arnaldo Santana
Inglourious Basterds,Arndt Schwering-Sohnrey
Das Boot,Arno Kral
Rocky,Arnold Johnson
Gladiator,Arnold Montey
Snatch,Arnold Montey
Terminator 2: Judgment Day,Arnold Schwarzenegger
The Terminator,Arnold Schwarzenegger
Once Upon a Time in America,Arnon Milchan
The Lord of the Rings: The Two Towers,Aron Eastwood
Ford v Ferrari,Arron Shiver
Léon: The Professional,Arsène Jiroyan
Stand by Me,Art Burke
Citizen Kane,Art Dupuis
Rear Window,Art Gilmore
It's a Wonderful Life,Art Howard
Witness for the Prosecution,Art Howard
Ben-Hur,Artemio Antonini
The Grapes of Wrath,Arthur Aylesworth
Harry Potter and the Deathly Hallows: Part 2,Arthur Bowen
Network,Arthur Burghardt
Gran Torino,Arthur Cartwright
Casablanca,Arthur Dulac
It Happened One Night,Arthur Hoyt
Citizen Kane,Arthur Kay
On the Waterfront,Arthur Keegan
Lawrence of Arabia,Arthur Kennedy
Mr. Smith Goes to Washington,Arthur Loft
Se7en,Arthur Max
Citizen Kane,Arthur O'Connell
Avengers: Endgame,Arthur Ortiz
Coco,Arthur Ortiz
Spider-Man: Across the Spider-Verse,Arthur Ortiz
Spider-Man: Into the Spider-Verse,Arthur Ortiz
Barry Lyndon,Arthur O'Sullivan
Metropolis,Arthur Reinhardt
The Exorcist,Arthur Storch
Casablanca,Arthur Stuart Hull
It's a Wonderful Life,Arthur Stuart Hull
Mr. Smith Goes to Washington,Arthur Thalasso
Back to the Future,Arthur Tovey
Gone with the Wind,Arthur Tovey
North by Northwest,Arthur Tovey
